,MAE,RMSE,R2 Score,Pearson,Spearman
Random Forest,1.3379946457641734,1.854626522718196,0.4974406976610939,0.7161475242320687,0.7214882243770548
Gradient Boosting,1.2178831313093839,1.6389878370076305,0.6075124863255508,0.7824064441279018,0.7948740110081349
XGBoost,1.1557306822536515,1.5519039351668924,0.648112327757314,0.8100842805797708,0.8138503660069173
Ridge Regression,1.8709542728210553,2.454771113430117,0.11956683872949125,0.46218950577488244,0.22814987130850584
Ensemble Model,1.2264486341372787,1.6603843737996244,0.5971979625640584,0.7900096893000981,0.7837773698844837
