,AvgIpc,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1v,Chi2n,Chi3n,Chi3v,Chi4v,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinAbsPartialCharge,MolLogP,MolMR,MolWt,NOCount,NumAliphaticCarbocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAtomStereoCenters,NumHAcceptors,NumRotatableBonds,NumSaturatedCarbocycles,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA3,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,TPSA,VSA_EState4,VSA_EState5,VSA_EState6,fr_Ar_N,fr_COO,fr_NH0,fr_NH1,fr_Ndealkylation2,fr_SH,fr_alkyl_halide,fr_ester,fr_halogen,fr_imidazole,fr_term_acetylene,qed
TAR_001,0.004639631999870691,0.005065081364924187,0.0032731628169183347,0.0089848249034237,0.0038270995444707467,0.005847722883077333,0.0026785043891187077,0.005000711021178855,2.5937318501215167e-05,0.004625849858832104,0.0020842685946246,0.003515112975706322,0.01822893709474395,0.002276022104015951,0.016292364606176946,0.0032561793813422057,0.009088145163001382,0.009979514950491888,0.0035274298640222967,0.0076471016375991435,0.0022879227046828793,0.006657167365963376,0.007063676540964417,0.0007665343556607779,0.005663931908007194,0.031855743961177796,0.03631410830570432,0.0037224043527396694,0.07438517175017606,0.0030371885997717563,0.010780570791671426,-7.160331428276989e-05,0.00791967160722408,0.0020306277526058736,0.007637742671664519,0.0019826592421161304,0.11135156080437092,0.004410007217933096,0.015445117051229793,0.013880246571878349,0.003134578484918521,0.015673719129188038,0.0035626217625042145,0.012801595180529715,-0.0006167340984573055,0.009849506219454546,0.007634083828672103,0.0015521696899845339,0.004838657413786321,0.00537755858696029,0.005978823519165219,0.004164834960255659,0.0054036257751095135,0.0027717484676746534,0.013889723137300136,0.005586366981603488,0.0003402146787978705,0.004328281484304156,0.004219707788162191,0.00110705541126567,0.006843730021073191,0.004966163369348547,0.028042534047392098,0.0033051511843970732,0.0009933342946451817,0.007982400102413245,0.008347700414869097,0.0032575783292900368,0.0045587546006285035,0.0011726055657788337,0.010050797618199214,0.019660413947744815,0.003150211663682373,0.002638858637524763,0.009576490758279474,0.0042318702717809575,0.015033355133466292,0.010846425185461195,0.00753874333130318,0.006295812659862454,0.002498671885501458,0.005355712195518836,0.0017968111407120346,0.0011509667897666859,0.017437889253188177,0.01284773135207766,0.004608887435796405,0.03344041430188867,0.0036468424931526827,0.016621632268308595,0.00039658235548603593,0.005647768989599622,0.030364936006045895
TAR_002,0.0023972415767573862,0.002650356269161186,-0.0018401017263401376,0.01180712124349892,0.013714664986619315,0.009918072739099254,-0.0012177722561814708,0.03139728645897934,0.003485723872625815,-0.003351528891002556,1.2694261394136097e-06,0.01938418374465442,0.0511317087491973,0.012324349291555098,-0.00899336092157059,0.002527900806808203,0.05932767838343554,0.029265546027683914,0.008139262985588633,0.0037035911697826385,8.677915422238003e-05,0.0010921946384974818,0.001961070221632291,0.008079102924405127,0.00397122459145996,0.08284495285108348,0.03872620127159805,0.01269348532280122,0.03068661533114171,0.0016592986199147758,-0.006578036277104571,0.009806835859401952,0.0025866673693767522,-0.0022260791115029654,0.019611129558334592,0.007257707747542752,0.09587316830590417,0.01074230289827928,-0.010510087116831532,-0.003823663676030112,0.00014212079342718065,0.01723519419961235,0.0012602529698817894,-0.008610829543278492,0.0036633883191461436,0.009055905650139154,0.004745842469243491,0.007997451315541887,0.007937801169204534,0.0074083742306258055,0.005251943747000484,0.004801646957652506,0.008981043628569399,0.0010528204197433055,0.009897158098643,0.0131456721357055,0.004442506770080831,0.007394490033041781,0.018279420563311027,0.005070172516141724,0.002305693080951257,0.0005985941253339733,0.0052325820663289835,0.005881282231279081,0.004575308165133005,0.0004500123145986801,-0.008401314830479734,0.006258699680914193,0.005275694837069314,0.01041286167014241,0.017197440497348337,0.023662101818259312,0.00559521585757905,0.01054764391495773,0.008203675354018267,0.0524346582879435,0.021007764254210276,0.008641996901237556,0.0013842981594626158,0.011750176496933773,0.0029513996651448354,0.0055664911978847015,0.00025515109082255294,0.005947195427630392,0.012430814665847903,0.010679018971556709,0.009148226713707783,0.08328170349584747,0.009203162234838858,0.009818706701704927,0.00045000586218559013,0.00929691103171737,0.007330873360042331
TAR_003,0.019125123360016677,0.004839265253361716,0.0026543099681971827,0.016815509917078267,0.009200834779199418,0.007651139753820299,0.002161127544317701,0.008512957192109732,0.004739962188363395,0.007730796391931527,0.019059077346863754,0.022604996963902765,0.04651218396014839,0.006296379357495718,0.008729468741708712,0.004820425535755582,0.061792947936787884,0.03913000873323087,0.018307701396556658,0.0047028515369868795,0.004630968216331549,0.0031440077391443055,0.004004998096538495,0.008020425000266396,0.006453060436846722,0.09271714200714304,0.08335411116812985,0.012389833341871798,0.048704676206571845,0.00856704432224309,0.00899865643061673,0.002729829531631686,0.0025431117728965114,0.000737102548610119,0.007789686739177543,0.0016375650068900238,0.07674518694957992,0.008227233390311312,0.005004337819308063,0.013508823567338263,0.007462014047897231,0.02739609633251955,0.00898562724649693,0.01547350086798284,0.009401988375004028,0.013856908573137178,0.008809806783633134,0.0010091337732747452,0.0030447844700994126,0.003251378457706511,0.011279665549695145,0.00882961465611494,0.008703141347101623,0.00540488289835056,0.026313670254987973,0.014786333466465892,0.004957746738370017,0.006848769936881688,0.012921256769862347,0.009918205068769129,0.0085091129947715,0.003632440297420783,0.017657434339505715,0.0002905046944111922,0.010237615505438502,0.003957187987964336,0.003602336836003861,0.017233587447112286,0.007750317141321378,0.007646094872109974,0.018650853501061798,0.04579441839368874,0.0055307444482599055,0.012822869132588205,0.011990499450513045,0.04138234820471677,0.03543031030000712,0.010912898093785095,0.005413270394220349,0.014365963591460792,0.0028277185653923925,0.00507093190499,0.0033007527914660634,0.010360861460789891,0.022300639479286982,0.01687641122419027,0.010901810160333883,0.10065996412689512,0.008297832375914665,0.027917637193979827,0.00671342289246496,0.016088008817624413,0.007553920329985558
TAR_004,0.017416335816846887,0.01226620453787565,0.012355932823910884,0.017730951607258946,0.0038457328497989857,0.004616002996209317,0.00892649961237843,0.016202204093253736,0.028845187395550018,0.014294693747522513,0.022178013802782337,0.011807596315603047,0.0034770873598326257,-0.0004156825286172894,0.026742825177417426,0.02315470787500451,-0.0014447851318711985,0.011384691821524559,0.022639471343707154,0.01220346826390005,0.006598152511295599,0.003821900801500591,0.004498202053606112,0.008602167255776463,0.006386716051203917,0.05381653489943573,0.039043586281573534,0.0045638705933007395,0.032654674585671825,0.0073117400162025226,0.01050832918421249,0.005344344658334554,0.0015277082176589074,0.007014922929824988,0.009318289817980357,0.0026652090094097525,0.03616869828359941,0.007735091602284153,0.01486471225004768,0.02264565231200416,0.013979081296149345,0.0074509083002023,-0.004880206597037889,0.018510923250746755,0.005411315250354917,0.0056608559077808845,0.004804802216824985,0.0031983421502491116,0.011827225253379273,0.004777656560082166,0.007017213999486738,0.0034477356922765073,0.0032525645713950696,0.007554408533315987,-0.0020789887935035445,0.004311590531714898,0.01306076033147556,-0.0002291048581246763,0.005404352356229089,0.005712963815541067,0.01145557767877449,0.009921021459845816,0.009359970463574424,0.0014966328236867554,0.012420006998660235,0.002541769577858455,0.018700316791867594,0.0016325985766345863,0.018324872007587006,0.006131891663596012,0.011564865112742226,0.018273507595585492,0.000921538771280192,0.0007194596180551405,0.015534521040998256,0.005265463954744698,0.013640833179816028,0.0014161494166875094,0.003887024808147302,0.005478946740531926,0.004616000092498296,0.00033397499733411884,0.013838347381054189,0.0039416489924584824,0.00684690100463467,0.00609775094359441,0.0014823198753754901,0.07204745218473872,0.004099717569097855,0.017294746472936245,0.00036482195510063875,0.010965230244122257,0.003945722564970791
TAR_005,0.004956753514286635,0.014388423560773564,0.019154154648618,0.008293745386914103,0.009695587432032679,0.0014846195463662365,0.001892645631899531,0.03439732419362532,0.003267719950426712,0.00013968878605519208,0.0005353598023006279,0.011457105584254265,0.025302745233049803,0.010511526087568668,0.001895882687129244,0.0005134706668474959,0.03577193842834882,0.023303498008698492,-0.0030605579927283216,0.003567544169778364,0.0021154082903963867,0.0028085347715807174,0.004134222560267187,0.0007536784807029157,0.003904957685114188,0.053801666561217557,0.03351394797570119,0.005683508846654084,0.05273344686784234,0.002813480434423199,0.00209112461637162,0.003195056071622529,0.0037227002559254985,0.00012889155197592927,0.012450410354932023,0.00411837140399568,0.11014975395311827,0.006091747165554315,0.005577026980782593,0.005417022119069859,0.001425740275642337,0.027428922582796167,0.003658130782052363,0.004595128849343114,-0.000481471690427393,0.012476342811993502,0.008687635205374786,0.0026280050444420777,0.0027929439741547213,0.006568227418937964,0.004089975285870573,0.0029080282547463837,0.0032371343517281492,-8.203291166071491e-05,0.006017332600833605,0.0097100891573665,0.0023229165622997705,0.0071110226845425145,0.03873802435766363,0.013357677297830606,0.0020108762034814626,0.005279531441219884,0.006188763743727108,3.554517292292392e-05,0.002478017339193825,0.002045606132660596,0.006370639585059526,0.00376663727322972,-0.00046471362680040873,0.005620538778596543,0.009937456502062958,0.010843863712991383,0.006687696305753443,0.004954195048766014,0.004190556526702013,0.03865934802797634,0.020307388464406384,0.013243637645335954,0.006685787268182988,0.009283341347788784,0.006755337092305552,0.007555796909812215,0.0013215643026755347,0.0010737113486417038,0.009808368076192925,-0.0007091948381685031,0.005623973799996448,0.04647502542380398,0.007172782922475376,0.010136665684310861,0.009347798160444357,0.006514380350681914,0.011705391436682241
