molecule_id,MolWt,LogP,HBA,HBD
MOL_0167,299.33,2.32,6,2
MOL_0168,314.3,2.35,4,0
MOL_0169,394.48,2.43,4,2
MOL_0170,188.14,-2.21,4,4
MOL_0171,275.35,3.1,3,0
MOL_0172,321.2,3.07,3,1
MOL_0173,511.16,6.16,6,3
MOL_0174,414.39,5.14,6,0
MOL_0175,246.4,2.55,2,1
MOL_0176,343.47,4.95,3,1
MOL_0177,351.41,1.2,7,0
MOL_0178,214.31,1.61,3,1
MOL_0179,298.3,1.9,6,1
MOL_0180,272.74,3.41,2,1
MOL_0181,225.34,3.82,1,1
MOL_0182,383.51,5.39,5,1
MOL_0183,504.67,8.25,5,1
MOL_0184,347.38,3.07,6,1
MOL_0185,384.48,1.66,6,1
MOL_0186,301.34,2.42,5,3
MOL_0187,369.39,1.97,6,1
MOL_0188,428.33,3.94,3,4
MOL_0189,261.35,2.93,4,0
MOL_0190,272.31,1.97,6,1
MOL_0191,316.7,1.62,3,0
MOL_0192,341.2,4.57,4,1
MOL_0193,454.17,3.96,3,1
MOL_0194,216.33,2.64,2,0
MOL_0195,323.44,0.61,6,2
MOL_0196,450.29,6.93,1,2
MOL_0197,230.24,2.66,2,2
MOL_0198,433.9,4.55,3,1
MOL_0199,247.33,2.0,6,2
MOL_0200,211.31,0.03,3,1
