number,value,state,datetime_start,datetime_complete,params,user_attrs,param_max_depth,param_eta,param_subsample,param_colsample_bytree,param_lambda,param_alpha,param_min_child_weight
106,1.722815752029419,1,2025-10-25 11:55:06.379573,2025-10-25 11:55:07.401770,"{'max_depth': 4, 'eta': 0.00858465329510469, 'subsample': 0.8747693702781765, 'colsample_bytree': 0.6421970085164399, 'lambda': 0.0017579605770307288, 'alpha': 0.21642193502103738, 'min_child_weight': 1}",{'avg_rmse': 1.722815752029419},4,0.00858465329510469,0.8747693702781765,0.6421970085164399,0.0017579605770307288,0.21642193502103738,1
107,1.726453185081482,1,2025-10-25 11:55:07.401980,2025-10-25 11:55:08.368444,"{'max_depth': 3, 'eta': 0.008392608922291166, 'subsample': 0.9277789507445382, 'colsample_bytree': 0.6371405477543274, 'lambda': 0.00158841895745231, 'alpha': 0.002193752143567334, 'min_child_weight': 2}",{'avg_rmse': 1.726453185081482},3,0.008392608922291166,0.9277789507445382,0.6371405477543274,0.00158841895745231,0.002193752143567334,2
108,1.728083086013794,1,2025-10-25 11:55:08.368644,2025-10-25 11:55:09.216913,"{'max_depth': 3, 'eta': 0.008493638002634299, 'subsample': 0.9267719694971306, 'colsample_bytree': 0.6377829455785105, 'lambda': 0.001761929275639495, 'alpha': 0.0014767301237147627, 'min_child_weight': 2}",{'avg_rmse': 1.728083086013794},3,0.008493638002634299,0.9267719694971306,0.6377829455785105,0.001761929275639495,0.0014767301237147627,2
109,1.8108027458190918,1,2025-10-25 11:55:09.217115,2025-10-25 11:55:09.889089,"{'max_depth': 3, 'eta': 0.010475817100240448, 'subsample': 0.8723772751677434, 'colsample_bytree': 0.6553797810053374, 'lambda': 0.0026679201749306315, 'alpha': 0.00047951120295477127, 'min_child_weight': 4}",{'avg_rmse': 1.8108027458190918},3,0.010475817100240448,0.8723772751677434,0.6553797810053374,0.0026679201749306315,0.00047951120295477127,4
110,1.8071627616882324,1,2025-10-25 11:55:09.889314,2025-10-25 11:55:10.887393,"{'max_depth': 4, 'eta': 0.00660628956779814, 'subsample': 0.9100466045322919, 'colsample_bytree': 0.6056443821973061, 'lambda': 0.0013188305084739565, 'alpha': 0.2603127972597435, 'min_child_weight': 3}",{'avg_rmse': 1.8071627616882324},4,0.00660628956779814,0.9100466045322919,0.6056443821973061,0.0013188305084739565,0.2603127972597435,3
111,1.7177591800689698,1,2025-10-25 11:55:10.887601,2025-10-25 11:55:11.993767,"{'max_depth': 4, 'eta': 0.00750999367536933, 'subsample': 0.9336936364568214, 'colsample_bytree': 0.5780815000155805, 'lambda': 0.004225213008163517, 'alpha': 0.47307054936393333, 'min_child_weight': 1}",{'avg_rmse': 1.7177591800689698},4,0.00750999367536933,0.9336936364568214,0.5780815000155805,0.004225213008163517,0.47307054936393333,1
112,1.7374473094940186,1,2025-10-25 11:55:11.993985,2025-10-25 11:55:13.131967,"{'max_depth': 4, 'eta': 0.007537263344575438, 'subsample': 0.8882348803068459, 'colsample_bytree': 0.6206423244465658, 'lambda': 0.00400829995750489, 'alpha': 0.9579300462393749, 'min_child_weight': 1}",{'avg_rmse': 1.7374473094940186},4,0.007537263344575438,0.8882348803068459,0.6206423244465658,0.00400829995750489,0.9579300462393749,1
113,1.746284556388855,1,2025-10-25 11:55:13.132349,2025-10-25 11:55:14.558399,"{'max_depth': 3, 'eta': 0.004808287669502805, 'subsample': 0.9359617842819622, 'colsample_bytree': 0.5667713492713653, 'lambda': 0.0006147539737061804, 'alpha': 1.5005007206315542, 'min_child_weight': 2}",{'avg_rmse': 1.746284556388855},3,0.004808287669502805,0.9359617842819622,0.5667713492713653,0.0006147539737061804,1.5005007206315542,2
114,1.7333956241607666,1,2025-10-25 11:55:14.558656,2025-10-25 11:55:16.049613,"{'max_depth': 4, 'eta': 0.006944634948121966, 'subsample': 0.9025733380022439, 'colsample_bytree': 0.5791066691763844, 'lambda': 0.002097432913706128, 'alpha': 0.43729495815278613, 'min_child_weight': 1}",{'avg_rmse': 1.7333956241607666},4,0.006944634948121966,0.9025733380022439,0.5791066691763844,0.002097432913706128,0.43729495815278613,1
115,1.7285062074661255,1,2025-10-25 11:55:16.049860,2025-10-25 11:55:17.611944,"{'max_depth': 4, 'eta': 0.010404194976600951, 'subsample': 0.9570226439000039, 'colsample_bytree': 0.6599082479224612, 'lambda': 0.0009123221092639745, 'alpha': 0.6196113432340423, 'min_child_weight': 2}",{'avg_rmse': 1.7285062074661255},4,0.010404194976600951,0.9570226439000039,0.6599082479224612,0.0009123221092639745,0.6196113432340423,2
